"influenza_category","rec2_variable","population","ive_percent","ive_lower_ci","ive_upper_ci","number_of_ve_estimates","i2_percent","heterogeneity_q","heterogeneity_p","pooled_odds_ratio","odds_ratio_lower_ci","odds_ratio_upper_ci","p_display"
"Influenza A","est_virustype_rec2_a","All",34.8857599186653,33.8850632090794,35.8713103700351,685,66.9270725827701,2068.15680804735,6.32781873251484e-139,0.651142400813347,0.641286896299649,0.661149367909206,"<0.001"
"Influenza A","est_virustype_rec2_a","Under 5's",49.9950814514404,44.3059506842748,55.1030691829753,27,60.539552049382,65.8887603925257,2.58139907881966e-05,0.500049185485596,0.448969308170247,0.556940493157252,"<0.001"
"Influenza A","est_virustype_rec2_a","General population",36.4122644327315,35.3298584410753,37.4765538298894,496,68.8862171627296,1590.93480400285,3.73775388952527e-115,0.635877355672685,0.625234461701106,0.646701415589247,"<0.001"
"Influenza A","est_virustype_rec2_a","65 and over",23.9580134627565,20.9991809821421,26.8060282359448,151,51.6029752043921,309.936407523986,3.41845458021476e-13,0.760419865372435,0.731939717640552,0.790008190178579,"<0.001"
"Influenza B","est_virustype_rec2_b","All",46.7068566915267,45.3868651174233,47.9949442601295,316,53.7181738947575,680.612729678613,5.48333324635698e-29,0.532931433084733,0.520050557398705,0.546131348825767,"<0.001"
"Influenza B","est_virustype_rec2_b","Under 5's",48.9907871300143,35.4992358332195,59.660326025167,12,50.0392837125025,22.0172984244278,0.024239572493399,0.510092128699857,0.40339673974833,0.645007641667805,"0.024"
"Influenza B","est_virustype_rec2_b","General population",49.1707548932867,47.792969061845,50.5121798407017,242,49.0431216296722,472.948908385908,3.05037237489269e-17,0.508292451067133,0.494878201592983,0.52207030938155,"<0.001"
"Influenza B","est_virustype_rec2_b","65 and over",29.6279139989376,24.999469989864,33.9707267739089,56,31.8062613853235,80.6525659353762,0.0137040350930482,0.703720860010624,0.660292732260911,0.75000530010136,"0.014"
"Any influenza","est_virustype_rec2_all","All",39.401982074174,38.6538410211269,40.1409992465321,1072,65.4833973683119,3102.85462166768,1.35539704424627e-196,0.60598017925826,0.598590007534679,0.613461589788731,"<0.001"
"Any influenza","est_virustype_rec2_all","Under 5's",51.6920462818214,47.5102940144126,55.5406465207014,42,54.3155776288136,89.7461276118905,1.69350348858196e-05,0.483079537181786,0.444593534792986,0.524897059855874,"<0.001"
"Any influenza","est_virustype_rec2_all","General population",41.2270976763973,40.4177813617512,42.0254208975984,775,66.7958696787124,2331.03530347181,1.56785052314983e-155,0.587729023236027,0.579745791024016,0.595822186382488,"<0.001"
"Any influenza","est_virustype_rec2_all","65 and over",27.3588195981692,25.1118260654943,29.5383928738046,234,49.1218145504246,457.95658383085,8.23124532265052e-17,0.726411804018308,0.704616071261954,0.748881739345057,"<0.001"
